作品ID,作品名,ジャンル,配給社,レーティング,公開日,終映日,上映日数,動員数合計,興行収入合計,レイト上映有無
M0299,(生)林檎博’24…上映会DV6/25・26,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-06-25,2025-06-26,2,38,140600,False
M0300,PIERROT「LASTCIRCUS」先行上映会 12/12,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-12-12,2025-12-12,1,35,140000,False
M0301,THEORALCIGARETTES…2025 THE MOVIE10/12,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-10-12,2025-10-12,1,36,136800,False
M0302,PIERROT「LASTCIRCUS」先行上映会 12/13,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-12-13,2025-12-13,1,34,136000,False
M0303,(字幕)ユミの細胞たち THE MOVIE,邦画実写,株式会社 博報堂DYミュージック&ピクチャーズ,G,2025-07-11,2025-07-17,7,87,129380,False
M0304,つばきファクトリー10th…BUDOKAN LV4/30,邦画実写,株式会社ティ・ジョイ,G,2025-04-30,2025-04-30,1,31,124000,False
M0305,マルシィ one man live 2025 LV 8/14,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-08-14,2025-08-14,1,41,123000,False
M0306,2025 ZEROBASEONE WORLD TOUR LV 10/30,邦画実写,株式会社ティ・ジョイ,G,2025-10-30,2025-10-30,1,27,121500,False
M0307,SEVENTEEN… [NEW_] IN JAPAN LV 11/29,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-11-29,2025-11-29,1,22,121000,False
M0308,BEYOOOOONDS 2025 SPRING LV 6/9,邦画実写,株式会社ティ・ジョイ,G,2025-06-09,2025-06-09,1,30,120000,False
M0309,MANKAISTAGE「A3!」ACT3! 2025 LV4/10,その他,株式会社ポニーキャニオン,G,2025-05-10,2025-05-10,1,32,118400,False
M0310,メイクアガール,邦画実写,株式会社KADOKAWA,G,2025-02-21,2025-02-27,7,74,110960,True
M0311,NOT BEER,その他,ルディック,G,2025-08-15,2025-08-21,7,70,106300,False
M0312,Special for Princess! ﾃﾞﾋﾞｭｰﾗｲﾌﾞ LV 5/31,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-05-31,2025-05-31,1,25,100000,False
M0313,ﾐｭｰｼﾞｶﾙ「刀剣乱舞」江…りぶうとLV 5/29,邦画実写,株式会社ティ・ジョイ,G,2025-05-29,2025-05-29,1,24,91200,False
M0314,ﾌﾟﾘﾝｾｽ･ﾌﾟﾘﾝｼﾊﾟﾙ1章～3章+4章最速上映会,邦画実写,株式会社 博報堂DYミュージック&ピクチャーズ,G,2025-05-22,2025-05-22,1,15,90000,False
M0315,大きな玉ねぎの下で,邦画実写,東映株式会社,G,2025-02-21,2025-03-06,14,62,83700,True
M0316,(日本語字幕)フロントライン,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-06-22,2025-06-23,2,60,83000,False
M0317,(応)KING OF PRISM ALL STARS,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-03-01,2025-03-05,5,60,78000,False
M0318,matsuri 25:Japanese Music…DV 4/10,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-04-10,2025-04-10,1,17,71400,False
M0319,Juice=Juice Concert Tour 2025 LV6/23,邦画実写,株式会社ティ・ジョイ,G,2025-06-23,2025-06-23,1,17,68000,False
M0320,【日本語字幕版】(PG12)爆弾,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-11-16,2025-11-17,2,45,67200,False
M0321,ｱﾝｼﾞｭﾙﾑ 2025 autumn…final LV11/30,邦画実写,株式会社ティ・ジョイ,G,2025-11-30,2025-11-30,1,15,60000,False
M0322,雪の花　―ともに在りて―,邦画実写,松竹株式会社,G,2025-02-21,2025-02-27,7,46,58990,False
M0323,OCHA NORMA 2025 LIVE at BUDOKAN LV10/15,邦画実写,株式会社ティ・ジョイ,G,2025-10-15,2025-10-15,1,12,48000,False
M0324,【日本語字幕】かくかくしかじか,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-05-25,2025-05-26,2,34,44760,False
M0325,(日字)WIND BREAKER ウィンドブレイカー,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-12-21,2025-12-22,2,22,29040,False
M0326,(応)KING OF PRISM -PRIDE the HERO-,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-03-04,2025-12-31,303,22,28600,False
M0327,(応)KING OF PRISM by PrettyRhythm,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-03-03,2025-12-31,304,19,24700,False
M0328,「君としたキスはいつまでも」LV11/29,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-11-29,2025-11-29,1,7,24500,False
M0329,ﾊﾟﾝﾀﾞｺﾊﾟﾝﾀﾞ/ﾊﾟﾝﾀﾞｺﾊﾟﾝﾀﾞ雨ふりｻｰｶｽ,邦画アニメ,株式会社トムス・エンタテインメント,G,2025-05-06,2025-05-06,1,24,24000,False
M0330,(日本語字幕)近畿地方のある場所について,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-08-17,2025-08-18,2,16,19300,False
M0331,室町無頼,邦画実写,東映株式会社,PG12,2025-02-21,2025-02-26,6,9,11700,True
